# candle-llm CUDA lib tests, control binary (feature head 022246245, no CUDA test lock), 20 runs: <exe> --test-threads=8, CUDA_VISIBLE_DEVICES=1
# every failure: decode::graph::cuda_tests::poc_contiguous_ops_replay_bit_exact_and_index_select_is_refused panicked at graph.rs:2093:45: capture abandoned: capture_invalidated
run 1 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.95s
run 2 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.72s
run 3 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.89s
run 4 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 2.06s
run 5 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.83s
run 6 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.77s
run 7 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 2.04s
run 8 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.84s
run 9 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 2.16s
run 10 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.92s
run 11 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.94s
run 12 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.79s
run 13 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.76s
run 14 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.81s
run 15 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.87s
run 16 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.76s
run 17 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.87s
run 18 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.80s
run 19 exit=101 test result: FAILED. 397 passed; 1 failed; 13 ignored; 0 measured; 0 filtered out; finished in 1.87s
run 20 exit=0 test result: ok. 398 passed; 0 failed; 13 ignored; 0 measured; 0 filtered out; finished in 2.18s
TOTAL runs=20 failures=9 CUDA_VISIBLE_DEVICES=1
