time	global_subbeat	fields
0.0	0	timestamp=0.0; rhythm=meter:(4, 4),eighth_position:2; structure=verse; key=C:major; chord=N
0.72	4	timestamp=0.72; rhythm=eighth_position:4
1.48	8	timestamp=1.48; rhythm=eighth_position:6; chord=C:maj; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
1.9	10	melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
2.32	12	timestamp=2.32; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
3.12	16	timestamp=3.12; rhythm=eighth_position:2; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
3.84	20	timestamp=3.84; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
4.56	24	timestamp=4.56; rhythm=eighth_position:6; melody=[pitch=84:track=0:dur_bin=5:dur_steps=8]
5.32	28	timestamp=5.32; rhythm=eighth_position:0; chord=C:maj
6.12	32	timestamp=6.12; rhythm=eighth_position:2; melody=[pitch=88:track=0:dur_bin=2:dur_steps=3]
6.66	35	melody=[pitch=86:track=0:dur_bin=0:dur_steps=1]
6.84	36	timestamp=6.84; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
7.6	40	timestamp=7.6; rhythm=eighth_position:6; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
8.32	44	timestamp=8.32; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
9.08	48	timestamp=9.08; rhythm=eighth_position:2; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
9.88	52	timestamp=9.88; rhythm=eighth_position:4
10.68	56	timestamp=10.68; rhythm=eighth_position:6; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
11.08	58	melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
11.48	60	timestamp=11.48; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
12.24	64	timestamp=12.24; rhythm=eighth_position:2
12.620000000000001	66	melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
13.0	68	timestamp=13.0; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
13.8	72	timestamp=13.8; rhythm=eighth_position:6; chord=G:maj6; melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
14.6	76	timestamp=14.6; rhythm=eighth_position:0; chord=G:maj6
15.4	80	timestamp=15.4; rhythm=eighth_position:2; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
15.8	82	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
16.2	84	timestamp=16.2; rhythm=eighth_position:4; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
17.0	88	timestamp=17.0; rhythm=eighth_position:6; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
17.8	92	timestamp=17.8; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
18.6	96	timestamp=18.6; rhythm=eighth_position:2; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
19.44	100	timestamp=19.44; rhythm=eighth_position:4; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
20.32	104	timestamp=20.32; rhythm=eighth_position:6
21.2	108	timestamp=21.2; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
21.619999999999997	110	melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
22.04	112	timestamp=22.04; rhythm=eighth_position:2; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
22.84	116	timestamp=22.84; rhythm=eighth_position:4; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
23.56	120	timestamp=23.56; rhythm=eighth_position:6; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
24.28	124	timestamp=24.28; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=84:track=0:dur_bin=4:dur_steps=6]
25.08	128	timestamp=25.08; rhythm=eighth_position:2
25.84	132	timestamp=25.84; rhythm=eighth_position:4; melody=[pitch=88:track=0:dur_bin=2:dur_steps=3]
26.47	135	melody=[pitch=86:track=0:dur_bin=0:dur_steps=1]
26.68	136	timestamp=26.68; rhythm=eighth_position:6; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
