time	global_subbeat	fields
0.01	0	timestamp=0.01; rhythm=meter:(3, 4),eighth_position:0; structure=verse; key=C:major; chord=N
0.74	4	timestamp=0.74; rhythm=eighth_position:2
1.5	8	timestamp=1.5; rhythm=eighth_position:4; chord=C:maj; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
1.94	10	melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
2.38	12	timestamp=2.38; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
3.14	16	timestamp=3.14; rhythm=eighth_position:2; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
3.89	20	timestamp=3.89; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
4.62	24	timestamp=4.62; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=84:track=0:dur_bin=5:dur_steps=8]
5.38	28	timestamp=5.38; rhythm=eighth_position:2
6.15	32	timestamp=6.15; rhythm=eighth_position:4; melody=[pitch=88:track=0:dur_bin=2:dur_steps=3]
6.7125	35	melody=[pitch=86:track=0:dur_bin=0:dur_steps=1]
6.9	36	timestamp=6.9; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
7.66	40	timestamp=7.66; rhythm=eighth_position:2; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
8.38	44	timestamp=8.38; rhythm=eighth_position:4; melody=[pitch=78:track=0:dur_bin=3:dur_steps=4]
9.18	48	timestamp=9.18; rhythm=eighth_position:0; chord=C:maj7/5; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
9.94	52	timestamp=9.94; rhythm=eighth_position:2
10.78	56	timestamp=10.78; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
11.18	58	melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
11.58	60	timestamp=11.58; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=88:track=0:dur_bin=4:dur_steps=6]
12.26	64	timestamp=12.26; rhythm=eighth_position:2
12.66	66	melody=[pitch=86:track=0:dur_bin=1:dur_steps=2]
13.06	68	timestamp=13.06; rhythm=eighth_position:4; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
13.86	72	timestamp=13.86; rhythm=eighth_position:0; chord=C:maj7/7; melody=[pitch=83:track=0:dur_bin=4:dur_steps=6]
14.66	76	timestamp=14.66; rhythm=eighth_position:2
15.46	80	timestamp=15.46; rhythm=eighth_position:4; melody=[pitch=81:track=0:dur_bin=1:dur_steps=2]
15.860000000000001	82	melody=[pitch=83:track=0:dur_bin=1:dur_steps=2]
16.26	84	timestamp=16.26; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
17.02	88	timestamp=17.02; rhythm=eighth_position:2; melody=[pitch=84:track=0:dur_bin=3:dur_steps=4]
17.82	92	timestamp=17.82; rhythm=eighth_position:4; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
18.66	96	timestamp=18.66; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
19.5	100	timestamp=19.5; rhythm=eighth_position:2; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
20.38	104	timestamp=20.38; rhythm=eighth_position:4
21.26	108	timestamp=21.26; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=79:track=0:dur_bin=1:dur_steps=2]
21.68	110	melody=[pitch=76:track=0:dur_bin=1:dur_steps=2]
22.1	112	timestamp=22.1; rhythm=eighth_position:2; melody=[pitch=72:track=0:dur_bin=3:dur_steps=4]
22.86	116	timestamp=22.86; rhythm=eighth_position:4; melody=[pitch=76:track=0:dur_bin=3:dur_steps=4]
23.58	120	timestamp=23.58; rhythm=eighth_position:0; chord=C:maj; melody=[pitch=79:track=0:dur_bin=3:dur_steps=4]
